job_id,title,company,role_category,source,skill,skill_category
adzuna_5679487972,Google Cloud Data Engineer,NMI,Data Engineer,Adzuna,R,Programming
adzuna_5687808860,"Senior Manager, Analytics Strategy & Operations (Contractor)",Fortis Games,Other,Adzuna,R,Programming
adzuna_5718093646,Senior Analyst - Retention and Loyalty,Enercare,Data Analyst,Adzuna,R,Programming
adzuna_5724498457,"Senior Financial Analyst, FP&A Corporate Support (Toronto, ON - Hybrid)",LifeLabs,Data Analyst,Adzuna,R,Programming
adzuna_5695879130,"Senior Analyst, Real Estate Development",Fiera Capital,Data Analyst,Adzuna,R,Programming
adzuna_5695967789,"Senior Analyst, Real Estate Development",Fiera Capital,Data Analyst,Adzuna,R,Programming
adzuna_5724632546,UX Designer,Equest,Other,Adzuna,R,Programming
adzuna_5648287215,Principal Product & Program Manager — Digital Banking Transformation (Credit Unions),Aequilibrium Software Inc.,Other,Adzuna,R,Programming
adzuna_5648287215,Principal Product & Program Manager — Digital Banking Transformation (Credit Unions),Aequilibrium Software Inc.,Other,Adzuna,Git,Tools
adzuna_5725715689,Strategic Finance & Investor Relations (Analyst / Associate),CSMC,Data Analyst,Adzuna,R,Programming
adzuna_5718144358,Senior Customer Analytics Manager,Jobber,Other,Adzuna,R,Programming
adzuna_5662715380,Junior Accountant,RTX,Other,Adzuna,R,Programming
adzuna_5664823312,Junior Accountant,RTX Corporation,Other,Adzuna,R,Programming
adzuna_5720807519,"Analytics Lead, Procurement",Compass Group,Other,Adzuna,R,Programming
adzuna_5473535943,Coding Standards and Data Quality Specialist,Providence Health Care,Other,Adzuna,R,Programming
adzuna_5687769121,Application Support Analyst - Maternity Leave Coverage,LaPrairie Group,Data Analyst,Adzuna,R,Programming
adzuna_5715692826,Application Support Analyst - Maternity Leave Coverage,LaPrairie Group,Data Analyst,Adzuna,R,Programming
adzuna_5673337300,"Senior Marketing Analyst, Media & Brand",Constant Contact,Data Analyst,Adzuna,R,Programming
adzuna_5686205670,"Senior Financial Analyst, Accounting",Neo Financial,Data Analyst,Adzuna,R,Programming
adzuna_5720724904,"Director, Financial Risk",Jobgether,Other,Adzuna,R,Programming
adzuna_5724400658,"Business Insights Manager, Operational Analytics",Manulife,Other,Adzuna,R,Programming
adzuna_5611246245,Mergers and Acquisitions Analyst,Valnet Inc.,Data Analyst,Adzuna,R,Programming
adzuna_5662792452,Staff Analytics Engineer,Passage,Other,Adzuna,R,Programming
adzuna_5689096291,Analytics Engineer,Trulioo,Other,Adzuna,R,Programming
adzuna_5714820609,Global Senior Analyst,Resmed,Data Analyst,Adzuna,R,Programming
adzuna_5716655776,Application Development Technical Business Analyst Assistant Vice President,Citigroup,Business Analyst,Adzuna,R,Programming
adzuna_5626506048,Senior Assessment Analyst,Job Details,Data Analyst,Adzuna,R,Programming
adzuna_5724547986,Analyst Relations Advisor,Boomi,Data Analyst,Adzuna,R,Programming
adzuna_5636566829,"Solution Architect, Dynamics 365 Business Central",Long View Systems,Other,Adzuna,R,Programming
adzuna_5717267076,"Project Controls Reporting Analyst (Calgary or Edmonton, AB) Hybrid",Enbridge,Data Analyst,Adzuna,R,Programming
adzuna_5717267736,Engineering Manager II - Analytics Platform,Spotify,Other,Adzuna,R,Programming
adzuna_5725348766,Affiliate Marketing Manager,Sleep Country,Other,Adzuna,R,Programming
adzuna_5715689954,"Scientist II (Bioassay), Analytical Development - Biologics - Eurofins CDMO Alphora, Inc.",Eurofins Canada BioPharma,Other,Adzuna,R,Programming
adzuna_5689015608,Data Architect,AtkinsRéalis,Other,Adzuna,R,Programming
adzuna_5381019787,Senior Associate/Cybersecurity & Incident Response (Forensic Services practice),Charles River Associates,Other,Adzuna,R,Programming
adzuna_5686144052,"Senior Analyst, Affinity",WTW,Data Analyst,Adzuna,R,Programming
adzuna_5716859214,Principal Product & Program Manager  Digital Banking Transformation (Credit Unions),Aequilibrium Software Inc.,Other,Adzuna,R,Programming
adzuna_5716859214,Principal Product & Program Manager  Digital Banking Transformation (Credit Unions),Aequilibrium Software Inc.,Other,Adzuna,Git,Tools
adzuna_5658746657,"Manager, Financial Planning & Analysis",EQ Bank,Other,Adzuna,R,Programming
adzuna_5442628137,Associate Principal/Cybersecurity & Incident Response (Forensic Services practice),Charles River Associates,Other,Adzuna,R,Programming
adzuna_5696896058,Senior Marketing Analyst,HelloFresh,Data Analyst,Adzuna,R,Programming
adzuna_5725073682,Affiliate Marketing Manager,ENDY,Other,Adzuna,R,Programming
adzuna_5720750063,"Product Owner, Data & Analytics",Mattamy Homes,Other,Adzuna,R,Programming
adzuna_5719847588,Senior Analytics Solutions Engineer,WorkSafeBC,Other,Adzuna,R,Programming
adzuna_5722066854,"Senior Manager, Data Analytics",Walmart,Other,Adzuna,R,Programming
adzuna_5716260170,"Senior Manager, Monitoring & Customer Insights",BMO,Other,Adzuna,R,Programming
adzuna_5690030022,Fraud Analyst,Meridian Credit Union Limited,Data Analyst,Adzuna,R,Programming
adzuna_5695900675,Product Analytics Manager,Jobber,Other,Adzuna,R,Programming
adzuna_5710656698,"Senior Consultant/Manager, Financial Crime Analytics",Deloitte,Other,Adzuna,R,Programming
adzuna_5718877139,"Analyst, Global Markets Corporate Banking",BMO,Data Analyst,Adzuna,R,Programming
adzuna_5678294005,"Senior Product Designer, Digital",Loblaw Companies,Other,Adzuna,R,Programming
adzuna_5678294005,"Senior Product Designer, Digital",Loblaw Companies,Other,Adzuna,Git,Tools
adzuna_5719817914,Mergers and Acquisitions Analyst,Valnet,Data Analyst,Adzuna,R,Programming
adzuna_5718503847,Mergers and Acquisitions Analyst,Valnet Inc.,Data Analyst,Adzuna,R,Programming
adzuna_5694726067,Technical Analytics Consultant Senior,Valtech,Other,Adzuna,R,Programming
adzuna_5710656695,Customer Strategy Analyst,Deloitte,Data Analyst,Adzuna,R,Programming
adzuna_5710656697,"Senior Manager, Financial Crime Analytics",Deloitte,Other,Adzuna,R,Programming
adzuna_5710656376,"Manager, Fraud Management",Deloitte,Other,Adzuna,R,Programming
adzuna_5694787352,Technical Analytics Consultant Senior,Valtech,Other,Adzuna,R,Programming
pythonorg_senior_python_&_sas_developer_(data_modernization),Senior Python & SAS Developer (Data Modernization),New Senior Python & SAS Developer (Data Modernization) Illumen Group Inc.,Other,Python.org Scrape,Python,Programming
pythonorg_senior_python_&_sas_developer_(data_modernization),Senior Python & SAS Developer (Data Modernization),New Senior Python & SAS Developer (Data Modernization) Illumen Group Inc.,Other,Python.org Scrape,R,Programming
pythonorg_founding_engineer,Founding Engineer,New Founding Engineer MyDataValue,Other,Python.org Scrape,R,Programming
pythonorg_senior_back-end_python_engineer_-_fully_remote-wor,Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE,"New Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE ActivePrime, Inc.",Other,Python.org Scrape,Python,Programming
pythonorg_senior_back-end_python_engineer_-_fully_remote-wor,Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE,"New Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE ActivePrime, Inc.",Other,Python.org Scrape,R,Programming
"pythonorg_senior_be_python_engineer_for_devops-fully_remote,","Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only","New Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only ActivePrime, Inc.",Other,Python.org Scrape,Python,Programming
"pythonorg_senior_be_python_engineer_for_devops-fully_remote,","Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only","New Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only ActivePrime, Inc.",Other,Python.org Scrape,R,Programming
pythonorg_senior_fullstack_software_engineer,Senior Fullstack Software Engineer,New Senior Fullstack Software Engineer Autodesk,Other,Python.org Scrape,R,Programming
pythonorg_developer_-_fully_remote,Developer - Fully Remote,New Developer - Fully Remote mySociety,Other,Python.org Scrape,R,Programming
pythonorg_python_back-end_developer,Python Back-end Developer,New Python Back-end Developer Initialize,Other,Python.org Scrape,Python,Programming
pythonorg_python_back-end_developer,Python Back-end Developer,New Python Back-end Developer Initialize,Other,Python.org Scrape,R,Programming
pythonorg_associate_principal_ai_scientist,Associate Principal AI Scientist,New Associate Principal AI Scientist AstraZeneca,Other,Python.org Scrape,R,Programming
pythonorg_junior_devops_engineer,Junior DevOps Engineer,New Junior DevOps Engineer Patrick J. McGovern Foundation,Other,Python.org Scrape,R,Programming
